PIVlab, ASCII chart output - 03-May-2024
FRAME: 4, filenames: A:[4]MAX_Pos001_TimeSrs003_TgKrt18GFP_K4K8MOYSLinj-3.avi & B:[5]MAX_Pos001_TimeSrs003_TgKrt18GFP_K4K8MOYSLinj-3.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
10,10,0.4725569487,-0.005587607622,1
10,18,0.2738743722,-0.05077505112,1
10,26,0.01704132557,0.03044602275,1
10,34,0.4223989248,0.4817233682,1
10,42,0.7160656452,0.6869720817,1
10,50,0.894149065,0.6639310718,1
10,58,0.8316963315,0.3010752201,1
10,66,0.3689974546,0.3333729506,1
10,74,0.2254498005,0.9893648028,1
10,82,-0.02061359584,1.219716072,1
10,90,-0.1597259194,0.93027246,1
10,98,-0.1289806962,0.2689013481,1
10,106,-0.5529007316,0.4954051971,1
10,114,-0.6001580954,1.050865531,1
10,122,-0.4998677969,1.183399916,1
10,130,-0.6479593515,1.303820372,1
10,138,-0.4852689505,1.737649798,1
10,146,0.4955503345,1.872048974,1
10,154,0.1544982195,0.9734841585,1
10,162,-0.2200892121,0.6893937588,1
10,170,0.07195404172,0.8826397657,1
10,178,0.04147440195,1.100938082,1
10,186,0.1628085971,1.40916574,1
10,194,NaN,NaN,2
10,202,0.5877777934,1.008831263,1
10,210,0.82732898,0.8949611783,1
10,218,0.2728903294,0.3088411093,1
10,226,0.01269172132,0.07453459501,1
10,234,0.1237871647,0.2314516306,1
10,242,0.1284398288,0.7390267253,1
10,250,0.3836437464,0.4252411723,1
10,258,0.5522111654,0.3111800551,1
10,266,0.2531278133,0.7577149868,1
10,274,0.1118389368,0.6576248407,1
10,282,0.02834445238,0.6853278875,1
10,290,0.03039130569,0.5729441643,1
10,298,-0.2182753086,0.290600419,1
10,306,-0.1848179102,0.1651969403,1
10,314,-0.1766326278,0.1413310319,1
10,322,0.1827011704,-0.2174153626,1
10,330,0.7178681493,-0.2747793794,1
10,338,0.7577921152,-0.08770221472,1
10,346,0.6477540731,-0.3858340383,1
10,354,0.5004206896,-0.3120189905,1
10,362,0.5062459707,-0.2959264517,1
10,370,0.5216015577,-0.2172678411,1
10,378,0.4481939077,-0.3438037932,1
10,386,0.4583164752,-0.5765212774,1
10,394,0.0007516667247,-0.6235707402,1
10,402,-0.1360361874,-0.9959281087,1
10,410,0.1423145533,-0.8781035542,1
10,418,0.3343542516,-0.4070290923,1
10,426,0.3479675651,-0.4067225456,1
10,434,0.5631221533,-0.6949772835,1
10,442,0.28832829,-1.226405978,1
10,450,-0.01051945984,-1.236125231,1
10,458,0.2498478293,-1.135756493,1
10,466,0.9056429863,-0.9639288187,1
10,474,1.51491189,-1.501253963,1
10,482,1.298745036,-2.016930103,1
10,490,NaN,NaN,2
18,10,0.6613181829,0.2491601706,1
18,18,0.2220479548,0.5062326193,1
18,26,0.2871927619,0.2882947326,1
18,34,0.4673466384,0.3160869479,1
18,42,0.4191842675,0.3486949205,1
18,50,0.3285360038,0.67466712,1
18,58,0.6187793612,0.734998703,1
18,66,0.2913563848,0.5689841509,1
18,74,0.1446387172,0.6201386452,1
18,82,-0.1917572469,0.3212127686,1
18,90,-0.4522673488,-0.0792119503,1
18,98,0.1381247193,0.249856621,1
18,106,0.5057247877,0.2850672007,1
18,114,-0.3794539869,1.282646418,1
