x - $T=2.1$h,y - $T=2.1$h,x - $T=3.2$h,y - $T=3.2$h,x - $T=4.2$h,y - $T=4.2$h,x - $T=5.2$h,y - $T=5.2$h,x - $T=6.3$h,y - $T=6.3$h,x - $T=7.3$h,y - $T=7.3$h,x - $T=8.3$h,y - $T=8.3$h
0.05,0.21656863839865664,0.05,0.35067900158820564,0.05,0.5619991781990983,0.05,0.9240837470671325,0.05,1.5092808196289038,0.05,2.0787295502790997,0.05,2.5751330237905843
0.15000000000000002,0.22722021661549982,0.15000000000000002,0.3692760112853045,0.15000000000000002,0.5849249298772854,0.15000000000000002,0.9553602459327876,0.15000000000000002,1.5353976625427341,0.15000000000000002,2.0924690861585433,0.15000000000000002,2.589435932893056
0.25,0.26146590785086155,0.25,0.4223251563302362,0.25,0.6620406978080648,0.25,1.060904723162055,0.25,1.6229866280647482,0.25,2.1821642677771136,0.25,2.6777685921853824
0.35000000000000003,0.30149966206826323,0.35000000000000003,0.48646640854665535,0.35000000000000003,0.751722992819571,0.35000000000000003,1.1461996251488067,0.35000000000000003,1.7135246831048907,0.35000000000000003,2.2453116994658613,0.35000000000000003,2.7345546558829152
0.45,0.36511362494321675,0.45,0.580526050512287,0.45,0.8747752259146824,0.45,1.2925268300837274,0.45,1.8123302118364049,0.45,2.3258719714070706,0.45,2.7951531616424123
0.55,0.43217559362102326,0.55,0.6765701143977653,0.55,1.0125549860733536,0.55,1.436498457377061,0.55,1.9514758291241479,0.55,2.4358969708723524,0.55,2.901949678907386
0.65,0.5231994227477001,0.65,0.8088959811425951,0.65,1.1667915492909056,0.65,1.5777099606806126,0.65,2.0491510403088267,0.65,2.519555756146988,0.65,2.9650169508430446
0.75,0.6269012496326158,0.75,0.9539356259954517,0.75,1.3290231880755081,0.75,1.7288783648188861,0.75,2.1740588445302023,0.75,2.618195959123551,0.75,3.0548742561271935
0.8500000000000001,0.7371924464560252,0.8500000000000001,1.106064859303085,0.8500000000000001,1.4900019088557592,0.8500000000000001,1.8802452170631216,0.8500000000000001,2.3058652184284387,0.8500000000000001,2.732870087315875,0.8500000000000001,3.160125694942678
0.9500000000000001,0.8445778351826481,0.9500000000000001,1.2413436904312858,0.9500000000000001,1.6225052545472665,0.9500000000000001,1.9962922153510878,0.9500000000000001,2.39951515939208,0.9500000000000001,2.8209423075720608,0.9500000000000001,3.252779947350006
