PIVlab, ASCII chart output - 03-May-2024
FRAME: 5, filenames: A:[5]MAX_Pos001_TimeSrs002_TgKrt18GFP_K4K8MOYSLinj.avi & B:[6]MAX_Pos001_TimeSrs002_TgKrt18GFP_K4K8MOYSLinj.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
10,10,0.6337848306,0.0754288733,1
10,18,0.5388718843,0.1167906821,1
10,26,0.1969967932,0.05225469917,1
10,34,-0.08107059449,-0.05849567056,1
10,42,-0.01297478378,0.02221909165,1
10,50,-0.1996373683,0.2652418017,1
10,58,-0.130959183,0.0388430953,1
10,66,0.2023245692,-0.3824651837,1
10,74,0.3573348522,-0.1729393601,1
10,82,0.2854020596,-0.2320969105,1
10,90,-0.4225194454,-0.01221530512,1
10,98,-0.1268766969,-0.1229822338,1
10,106,0.008712671697,-0.129142195,1
10,114,-0.103120327,0.3404512107,1
10,122,0.06019848585,0.2697081566,1
10,130,0.1696724743,0.6308469772,1
10,138,0.1515886188,0.7386749983,1
10,146,0.1861151755,0.3686814308,1
10,154,0.1967442036,0.07196107507,1
10,162,0.3779658079,-0.1217799485,1
10,170,0.6042727232,0.3361522555,1
10,178,0.5506671071,0.8665170074,1
10,186,0.7827141285,1.603829861,1
10,194,0.6495536566,0.3925206661,1
10,202,0.2623389363,0.2890366912,1
10,210,0.5223450661,0.7046259642,1
10,218,0.7252284288,0.8995859623,1
10,226,0.6832461357,0.7299383283,1
10,234,0.5065786839,0.3503237963,1
10,242,0.1909451187,0.362490654,1
10,250,0.5112305284,0.5304041505,1
10,258,0.5602005124,0.3604001701,1
10,266,0.4796876907,0.07108619809,1
10,274,0.3168878555,0.03449234366,1
10,282,0.05778971314,0.1467607915,1
10,290,0.1634855866,0.03386117145,1
10,298,0.6621758938,-0.1746652275,1
10,306,0.567052722,-0.05447242409,1
10,314,0.2859957516,0.09583127499,1
10,322,0.6471010447,-0.165576905,1
10,330,0.7094278336,-0.391656518,1
10,338,0.4438318908,-0.2782456577,1
10,346,0.5263980627,-0.5197906494,1
10,354,0.7105676532,-0.7585747242,1
10,362,0.615205586,-0.447797209,1
10,370,0.5790997744,-0.0704882741,1
10,378,0.6563284397,0.1470843554,1
10,386,0.6831932664,-0.03880769014,1
10,394,0.339820683,-0.478525877,1
10,402,0.2187880278,-0.9711923599,1
10,410,0.3269739151,-1.066013694,1
10,418,0.4509974122,-1.084289908,1
10,426,0.400746882,-0.9886914492,1
10,434,0.2851897478,-0.9912133217,1
10,442,0.3335992098,-1.189284325,1
10,450,0.2311102152,-1.565239429,1
10,458,0.5465387106,-1.752463102,1
10,466,0.5031619668,-1.762349367,1
10,474,0.3670338988,-1.602867126,1
10,482,0.7993894815,-1.848322034,1
10,490,1.734566331,-1.883193374,1
18,10,0.3639067411,-0.1059482396,1
18,18,0.2871790826,-0.01182449609,1
18,26,0.2684059441,-0.1681959033,1
18,34,0.3008242548,-0.2057716697,1
18,42,0.1204268336,-0.06102716178,1
18,50,-0.4590070546,-0.1269062757,1
18,58,-0.271730572,0.4720524848,1
18,66,-0.04723588005,0.3609846234,1
18,74,-0.1489429772,0.0424810648,1
18,82,-0.3523109257,-0.06501930952,1
18,90,-0.6284481287,0.2529704273,1
18,98,-0.4625475407,-0.08120951056,1
18,106,0.1197749302,-0.09025284648,1
18,114,0.1762942672,0.3328240514,1
18,122,0.0001746416092,0.3520398736,1
18,130,0.1226217896,0.3842167258,1
18,138,0.09508479387,0.4450284243,1
18,146,0.1021228433,0.6622533798,1
18,154,0.3376274109,0.3860837817,1
18,162,0.4659187496,0.4620088339,1
18,170,0.3440281749,1.005061626,1
18,178,0.3855365515,0.8327266574,1
18,186,0.3713695407,1.374339223,1
18,194,0.2857095599,0.1097297668,1
18,202,0.494371295,0.4286279678,1
18,210,0.7187165618,0.69305861,1
18,218,0.670899868,0.8612365723,1
18,226,0.6136181355,0.8759573698,1
18,234,0.4401521683,0.6579422951,1
18,242,0.431817174,0.4603738487,1
18,250,0.556910038,0.501219511,1
18,258,0.140045166,0.1934747696,1
18,266,0.6357626915,-0.1651239097,1
18,274,0.5575578213,0.01003116369,1
18,282,0.1281895339,0.225529328,1
18,290,0.07656535506,-0.01301297918,1
18,298,0.4119357169,-0.3321137428,1
18,306,0.462135613,-0.1095955223,1
18,314,0.2931761742,-0.170561254,1
18,322,0.2687201798,-0.3752738833,1
18,330,0.3170648217,-0.4042839408,1
18,338,0.3456375301,-0.2987211347,1
18,346,0.4089236856,-0.1387623847,1
18,354,0.6669480801,-0.2905046344,1
18,362,0.6032299995,-0.3183911741,1
18,370,0.4990304708,-0.2419103682,1
18,378,0.8761099577,-0.09426769614,1
18,386,0.7822614312,-0.3098142743,1
18,394,0.7795007229,-0.6300265193,1
18,402,0.7010946274,-0.9758637547,1
18,410,0.4296094477,-1.234131813,1
18,418,0.2820902467,-0.9918829203,1
18,426,0.2681939602,-0.7903928161,1
18,434,0.3048629165,-0.7438949347,1
18,442,0.5338674784,-0.7344611883,1
18,450,0.8559368849,-1.11497736,1
18,458,0.7834608555,-1.588434339,1
18,466,0.8460133076,-1.973706245,1
18,474,0.9998151064,-2.087234735,1
18,482,0.8255559206,-2.118561506,1
18,490,1.161874294,-2.204679966,1
26,10,0.3486509323,0.01004810631,1
26,18,0.1309814155,-0.03106914833,1
26,26,0.04222911596,-0.09237883985,1
26,34,0.1986750066,-0.3318275213,1
26,42,0.3768296242,-0.2486797869,1
26,50,-0.07275412977,0.1445637047,1
26,58,-0.02191322111,0.5445520878,1
26,66,-0.03807210922,0.6399068832,1
26,74,-0.2783046365,0.3571175039,1
26,82,-0.3902152479,0.2312214524,1
26,90,-0.4548334479,-0.03679800034,1
26,98,-0.494204253,-0.1440754533,1
26,106,-0.2437612116,0.1268819273,1
26,114,-0.02453435212,0.2295559943,1
26,122,0.0224622488,0.1444532573,1
26,130,0.3796725869,0.3084036112,1
26,138,0.2064285278,-0.01112085581,1
26,146,0.1084860265,0.1978398561,1
26,154,0.2059867382,0.5025194287,1
26,162,-0.04348570108,0.6996972561,1
26,170,-0.01990419626,1.127034187,1
26,178,0.3497661352,0.7483909726,1
26,186,0.4475046396,0.5089524984,1
26,194,0.1143581271,0.2054909468,1
26,202,0.5704798698,0.508384943,1
26,210,0.499263823,0.6035931706,1
26,218,0.2641484737,0.6814540029,1
26,226,0.5960117579,0.6422182322,1
26,234,0.8226172924,0.3446437716,1
26,242,1.023687482,0.534525156,1
26,250,0.8575503826,0.4080532491,1
26,258,0.8474268317,0.4247083068,1
26,266,0.9271857738,0.2000260055,1
26,274,0.5087224841,0.1030821949,1
26,282,0.2929230332,0.304462254,1
26,290,0.5761001706,0.1382288039,1
26,298,0.6963370442,-0.02828392759,1
26,306,0.4283051491,-0.2103452086,1
26,314,0.4136028588,-0.4071481228,1
