PIVlab, ASCII chart output - 03-May-2024
FRAME: 1, filenames: A:[1]MAX_Pos001_TimeSrs002_TgKrt18GFP_K4K8MOYSLinj.avi & B:[2]MAX_Pos001_TimeSrs002_TgKrt18GFP_K4K8MOYSLinj.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
10,10,0.6007121205,0.4048178494,1
10,18,0.2391116023,0.6291866302,1
10,26,0.4943061173,0.275257349,1
10,34,0.5686285496,0.3753698766,1
10,42,0.2147793472,0.1320264935,1
10,50,0.2810254991,0.08431333303,1
10,58,0.4322250783,0.290689975,1
10,66,0.4302863479,0.4502751529,1
10,74,0.3345146179,0.1416240036,1
10,82,0.3198725879,-0.1544486135,1
10,90,0.2949741483,0.07957145572,1
10,98,0.08076199889,0.3116051555,1
10,106,0.165961504,0.7345545292,1
10,114,0.07016918063,0.8295478821,1
10,122,-0.03759682178,0.4339744449,1
10,130,0.05714273453,0.1353636682,1
10,138,0.03084716201,0.06723892689,1
10,146,-0.151234746,0.1768377721,1
10,154,-0.4589609802,-0.1327127218,1
10,162,-0.5634298325,-0.2923309803,1
10,170,-0.198130697,-0.3054526448,1
10,178,-0.02322889864,0.1500201374,1
10,186,-0.1613091677,0.09034720063,1
10,194,0.1612488031,-0.4331412911,1
10,202,0.4989802241,-0.5719351172,1
10,210,0.3926483691,-0.5607144833,1
10,218,0.1413721144,0.2353849709,1
10,226,0.165543139,0.4472693205,1
10,234,0.3232608438,0.4431932569,1
10,242,0.5304106474,0.2511690557,1
10,250,0.4051221907,-0.4082157612,1
10,258,0.1896342486,-0.4142834246,1
10,266,-0.05494712293,-0.1603088677,1
10,274,0.1575018167,-0.4634775221,1
10,282,0.420758009,-0.7345868945,1
10,290,0.2460990846,-0.9515496492,1
10,298,0.08434438705,-1.148788333,1
10,306,-0.1408229619,-1.115607738,1
10,314,0.1457263976,-1.471736312,1
10,322,0.7173053026,-1.481680155,1
10,330,0.6815898418,-1.230669379,1
10,338,0.4561955929,-1.267140746,1
10,346,0.4345063269,-1.130042553,1
10,354,0.3095844686,-1.237393856,1
10,362,0.08238005638,-1.48946476,1
10,370,0.2833756804,-1.584846377,1
10,378,0.7432795763,-1.423280835,1
10,386,0.9959819317,-1.614868283,1
