PIVlab, ASCII chart output - 03-May-2024
FRAME: 8, filenames: A:[8]MAX_Pos001_TimeSrs002_TgKrt18GFP_K4K8MOYSLinj.avi & B:[9]MAX_Pos001_TimeSrs002_TgKrt18GFP_K4K8MOYSLinj.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
10,10,-1.799432516,1.630173206,1
10,18,-1.017083168,2.185186625,1
10,26,-1.716187835,1.723686099,1
10,34,-1.64151895,1.707941413,1
10,42,-1.312602639,1.584879637,1
10,50,-1.17261219,1.418650389,1
10,58,-1.538590312,1.29526186,1
10,66,-1.398247957,1.622000098,1
10,74,-0.8137276173,1.950253487,1
10,82,-0.8250566125,1.345673442,1
10,90,-0.8767076731,1.702067375,1
10,98,-0.9362902641,1.701824427,1
10,106,-0.7895176411,1.581000447,1
10,114,-0.2487232685,1.980366111,1
10,122,-0.2731044888,2.11132884,1
10,130,-0.8072611094,2.188404083,1
10,138,-1.233170986,1.789432287,1
10,146,-1.744526744,1.843112469,1
10,154,-1.723667502,1.833990335,1
10,162,-1.326939225,2.098293304,1
10,170,-1.147970438,2.474243402,1
10,178,-0.8893427253,1.958074093,1
10,186,-0.6670346856,1.502701998,1
10,194,-1.264557362,1.521137238,1
10,202,-0.9676455259,1.437684536,1
10,210,-0.9770716429,1.691057086,1
10,218,-1.216185451,2.116089821,1
10,226,-1.04250145,2.036233664,1
10,234,-0.6839920282,2.141959667,1
10,242,-1.032219291,1.934448481,1
10,250,-1.161890507,1.181582212,1
10,258,-1.480428934,0.9200041294,1
10,266,-1.28999269,1.281861663,1
10,274,-0.9317039251,1.632359147,1
10,282,-1.08652997,1.520742655,1
10,290,-1.077416897,1.734901309,1
10,298,-0.9669994116,1.74247086,1
10,306,-1.023646474,1.440845847,1
10,314,-1.270854712,1.004204392,1
10,322,-1.548330903,0.6973831654,1
10,330,-1.417796493,0.6843588352,1
10,338,-1.36465621,0.5016095638,1
10,346,-0.9755336046,0.9370076656,1
10,354,-0.6422852874,1.264234304,1
10,362,-0.822011888,1.560847878,1
10,370,-1.052745104,1.799751163,1
10,378,-1.177777886,1.847265482,1
10,386,-1.019718409,1.399296045,1
10,394,-0.7178190947,1.175202489,1
10,402,-0.1548452973,1.122941375,1
10,410,-0.3381989002,1.310680509,1
10,418,-0.687805295,1.738311052,1
10,426,-0.6918554306,1.836206555,1
10,434,-0.4108965397,2.109761238,1
10,442,-0.1906663775,2.197382689,1
10,450,-0.3024734557,1.779088736,1
10,458,-0.7206588984,1.671303391,1
10,466,-1.12332201,1.633048892,1
10,474,-1.32697916,1.574321985,1
10,482,-1.0451442,1.932075262,1
10,490,-0.1979032755,1.738648653,1
18,10,-1.670645714,2.234363079,1
18,18,-1.736163378,1.990795374,1
18,26,-1.754120588,1.819435954,1
18,34,-1.460397124,1.809462667,1
18,42,-1.31127131,1.443192482,1
18,50,-1.301962018,1.492932677,1
18,58,-1.037841082,1.60283637,1
18,66,-0.6654770374,1.795634627,1
18,74,-0.4219952822,2.104431629,1
18,82,-0.7032287121,2.19805336,1
18,90,-0.9629873037,2.149280548,1
18,98,-0.9603866339,1.822669744,1
18,106,-1.120200515,1.570578098,1
18,114,-1.153751493,1.545302272,1
18,122,-1.120779991,1.494912982,1
18,130,-1.422034264,1.807831526,1
18,138,-1.821280837,2.209846497,1
18,146,-1.187175512,1.812012315,1
18,154,-1.124998689,1.572652578,1
18,162,-1.079485893,1.813475609,1
18,170,-1.461725116,1.770655036,1
18,178,-1.664299369,1.566616535,1
18,186,NaN,NaN,2
18,194,-1.507314205,1.605343461,1
18,202,-1.320362568,2.043314934,1
18,210,-1.389210582,1.773954391,1
18,218,-1.470827818,2.16315341,1
18,226,-1.292796969,2.277336836,1
18,234,-1.021276593,2.256080389,1
18,242,-1.332856059,2.396353245,1
18,250,NaN,NaN,2
18,258,NaN,NaN,2
18,266,-1.758717656,1.095365286,1
18,274,-0.9544064999,1.636359692,1
18,282,-1.214075923,1.895390272,1
18,290,-1.116131306,2.078315735,1
18,298,-0.8080427647,1.649093628,1
18,306,-0.7218772173,1.42830956,1
18,314,-0.9844229221,1.100135922,1
18,322,-1.198876381,1.006003857,1
18,330,-0.9582101107,1.035198331,1
18,338,-1.026239157,0.9747258425,1
18,346,-1.13641572,1.093099356,1
18,354,-0.8285605311,1.240686536,1
18,362,-0.5675442219,1.448147058,1
18,370,-0.5007478595,1.646222234,1
18,378,-0.8137021661,1.989603043,1
18,386,-1.005780101,1.214965582,1
18,394,-1.002768517,0.9145872593,1
18,402,-0.2882170677,0.9029350281,1
18,410,-0.2689366937,1.358350515,1
18,418,-0.5322361588,1.620818973,1
18,426,-0.2915295959,1.538253307,1
18,434,-0.1493461728,1.660817027,1
18,442,-0.140681982,1.80458951,1
18,450,-0.5501474738,1.74093461,1
18,458,-0.8209834099,1.645096898,1
18,466,-0.8364865184,1.749113202,1
18,474,-0.8064062595,1.507421494,1
18,482,-0.7396309972,1.876363635,1
18,490,-0.7608224154,1.717846394,1
26,10,-1.547282696,2.140010834,1
26,18,-1.614073753,1.91169548,1
26,26,-1.750896096,1.98781383,1
26,34,-1.674189091,1.685920358,1
26,42,-1.393025875,1.168812156,1
26,50,-1.201127768,1.679379106,1
26,58,-1.070999503,1.772589684,1
26,66,-1.131559849,0.1543745995,1
26,74,-0.7920559645,2.024819851,1
26,82,NaN,NaN,2
26,90,-1.061546326,2.362691164,1
26,98,-1.212192535,1.957621813,1
26,106,-1.229818344,1.738099337,1
26,114,-1.474744678,1.377159953,1
26,122,-1.697464347,1.267556429,1
26,130,NaN,NaN,2
26,138,NaN,NaN,2
26,146,-1.319918752,1.829012275,1
26,154,-0.7726925611,1.906745791,1
26,162,-0.9184345603,1.6959939,1
26,170,-0.7744008303,1.57157588,1
26,178,-0.7576004267,1.508440971,1
26,186,-1.806280494,1.782596231,1
26,194,-0.6203681827,1.714899421,1
26,202,-0.689037919,2.132230759,1
26,210,-1.339339972,1.872845531,1
26,218,-1.448998809,2.013411522,1
26,226,-1.282224417,2.248497963,1
26,234,-1.193121076,2.220359802,1
26,242,-1.468770027,2.109239101,1
26,250,-1.684903264,1.953075409,1
26,258,-1.432362676,1.339168549,1
26,266,-1.216398954,1.152761936,1
26,274,-1.166731596,1.577666044,1
26,282,-1.202005744,1.969488502,1
26,290,-1.165857077,2.095060349,1
26,298,-0.8660849333,1.75759387,1
26,306,-0.8116315603,1.484431267,1
26,314,-1.299523354,1.214211106,1
26,322,-1.170162916,0.9196463823,1
26,330,-0.8225284815,1.17301476,1
26,338,-0.7759052515,1.343789577,1
26,346,-0.8122648001,1.386071682,1
26,354,-0.5625655651,1.422731519,1
26,362,-0.7936130762,1.350302696,1
26,370,-0.9106369615,1.401476383,1
26,378,-0.5217139125,1.713011265,1
26,386,-0.8083586097,1.178051829,1
26,394,-0.783164382,0.9827204943,1
26,402,-0.4688059688,0.9714860916,1
26,410,-0.5316143036,1.158786774,1
26,418,-0.6371003389,1.535623193,1
26,426,-0.3238169551,1.624590993,1
